P_SWITCH_YEAR,P_PFPR,P_TACT,FREQ_580Y_2032,PFPR_2032,TFR_10Y,Run
2023,0.001,baseline,0.0119048,0.000179,0.071238719,run53
2023,0.001,baseline,0.0708333,0.000106,0.07431292,run54
2023,0.001,baseline,0.470219,0.000137,0.091891851,run55
2023,0.001,baseline,0.112676,0.00009,0.078359565,run56
2023,0.001,baseline,0.666667,0.0000045,0.063042642,run57
2023,0.001,baseline,0.13969,0.000198,0.0899857,run58
2023,0.001,baseline,0.825,0.0004,0.200012666,run59
2023,0.001,baseline,0.580189,0.000557,0.168890959,run6
2023,0.001,baseline,0.388112,0.00012,0.086026948,run60
2023,0.001,baseline,0.289604,0.0001805,0.090828335,run61
2023,0.001,baseline,0.520548,0.00003,0.087039316,run62
2023,0.001,baseline,0.185012,0.0001895,0.081054852,run63
2023,0.001,baseline,0.63172,0.0006465,0.180656282,run64
2023,0.001,baseline,0.553571,0.0001585,0.121749246,run65
2023,0.001,baseline,0,0.000163,0.077873235,run66
2023,0.001,baseline,0.934783,0.002299,0.314843619,run67
2023,0.001,baseline,0.0258216,0.000186,0.089840428,run68
2023,0.001,baseline,0.00584795,0.000078,0.086579236,run69
2023,0.001,baseline,0.00342466,0.000127,0.108672092,run7
2023,0.001,baseline,0.0502513,0.0001665,0.091212313,run70
2023,0.001,baseline,0.465587,0.000109,0.090113446,run71
2023,0.001,baseline,0.046332,0.0001095,0.103171933,run72
2023,0.001,baseline,0.730903,0.000243,0.195044767,run73
2023,0.001,baseline,0.975327,0.00059,0.285001439,run74
2023,0.001,baseline,0.959949,0.003064,0.331917009,run75
2023,0.001,baseline,0.0108696,0.0000785,0.079421469,run76
2023,0.001,baseline,0.0257511,0.0000985,0.091415096,run77
2023,0.001,baseline,0.874251,0.000706,0.242951808,run78
2023,0.001,baseline,0.207547,0.0000215,0.082793897,run79
2023,0.001,baseline,0.22449,0.0001695,0.076190514,run8
2023,0.001,baseline,0.84375,0.000748,0.251072177,run80
2023,0.001,baseline,0.978084,0.0039275,0.357570085,run81
2023,0.001,baseline,0.102837,0.000125,0.076378716,run82
2023,0.001,baseline,0.630639,0.0004495,0.140533214,run83
2023,0.001,baseline,0,0.000032,0.070226996,run84
2023,0.001,baseline,0.0853659,0.0001445,0.091103949,run85
2023,0.001,baseline,0.230769,0.000042,0.066812249,run86
2023,0.001,baseline,0.153017,0.000195,0.078220221,run87
2023,0.001,baseline,0.881517,0.001064,0.273058015,run88
2023,0.001,baseline,0.0865672,0.000274,0.075870928,run89
2023,0.001,baseline,0.609756,0.0001415,0.155995385,run9
2023,0.001,baseline,0.809295,0.000275,0.184236011,run90
2023,0.001,baseline,0.123288,0.0000635,0.067310163,run91
2023,0.001,baseline,0.195335,0.000147,0.104009744,run92
2023,0.001,baseline,0.12,0.000008,0.067126221,run93
2023,0.001,baseline,0.525974,0.0000695,0.085210023,run94
2023,0.001,baseline,0.0483871,0.000136,0.084617156,run95
2023,0.001,baseline,0.0612813,0.000152,0.0683292,run96
2023,0.001,baseline,0.0892857,0.0000725,0.0825434,run97
2023,0.001,baseline,0.0555556,0.000087,0.082865954,run98
2023,0.001,baseline,0.795759,0.000382,0.162537507,run99
2024,0.001,baseline,0.144928,0.0000905,0.08598209,run1
2024,0.001,baseline,0.167556,0.000407,0.10090528,run10
2024,0.001,baseline,0.0582524,0.0001605,0.082791205,run100
2024,0.001,baseline,0.729508,0.0000935,0.183784045,run11
2024,0.001,baseline,0.105263,0.0000155,0.074428716,run12
2024,0.001,baseline,0.482517,0.000118,0.118580319,run13
2024,0.001,baseline,0.373178,0.0001515,0.078101965,run14
2024,0.001,baseline,0.316062,0.0000855,0.074118458,run15
2024,0.001,baseline,0.117409,0.0001045,0.070919975,run16
2024,0.001,baseline,0.778761,0.0000985,0.108795483,run17
2024,0.001,baseline,0.0424528,0.0001905,0.089052847,run18
2024,0.001,baseline,0.166154,0.000143,0.074128508,run19
2024,0.001,baseline,0.275362,0.000125,0.080819345,run2
2024,0.001,baseline,0.390449,0.0001545,0.079660689,run20
2024,0.001,baseline,0.411371,0.000134,0.097293405,run21
2024,0.001,baseline,0.903827,0.002252,0.307801941,run22
2024,0.001,baseline,0.836601,0.000326,0.131918088,run23
2024,0.001,baseline,0.337748,0.00014,0.086058931,run24
2024,0.001,baseline,0.048951,0.000061,0.092535637,run25
2024,0.001,baseline,0.641509,0.0002775,0.144001488,run26
2024,0.001,baseline,0.78255,0.000331,0.194313384,run27
2024,0.001,baseline,0.554348,0.00004,0.078898236,run28
2024,0.001,baseline,0.0208768,0.0002145,0.099479251,run29
2024,0.001,baseline,0.137584,0.0001265,0.114078573,run3
2024,0.001,baseline,0.949248,0.0013395,0.28354238,run30
2024,0.001,baseline,0.438462,0.000057,0.077184766,run31
2024,0.001,baseline,0.850649,0.000197,0.208577872,run32
2024,0.001,baseline,0.118483,0.0000935,0.099552225,run33
2024,0.001,baseline,0.016129,0.0001925,0.078028571,run34
2024,0.001,baseline,0.835873,0.000369,0.237218499,run35
2024,0.001,baseline,0.248588,0.0002285,0.082461503,run36
2024,0.001,baseline,0.883239,0.000225,0.243684861,run37
2024,0.001,baseline,0.297436,0.0000745,0.072048013,run38
2024,0.001,baseline,0.223022,0.0001245,0.092609128,run39
2024,0.001,baseline,0.963068,0.0001675,0.248955285,run4
2024,0.001,baseline,0.386046,0.0000945,0.062302403,run40
2024,0.001,baseline,0.0530303,0.0001105,0.072594901,run41
2024,0.001,baseline,0.839489,0.000285,0.218677144,run42
2024,0.001,baseline,0.496746,0.000195,0.120724046,run43
2024,0.001,baseline,0.87363,0.0005865,0.217077879,run44
2024,0.001,baseline,0.00819672,0.000152,0.089039116,run45
2024,0.001,baseline,0.0666667,0.000019,0.090008219,run46
2024,0.001,baseline,0.407202,0.000158,0.072146676,run47
2024,0.001,baseline,0.202312,0.0000765,0.089118026,run48
2024,0.001,baseline,0.235849,0.0000425,0.076878392,run49
2024,0.001,baseline,0.680203,0.000083,0.131725595,run5
2024,0.001,baseline,0.557377,0.000082,0.080903792,run50
2024,0.001,baseline,0.0125,0.0001365,0.110389489,run51
2024,0.001,baseline,0.0615385,0.0001355,0.077742395,run52
2024,0.001,baseline,0.129518,0.000139,0.09756252,run53
2024,0.001,baseline,0.00826446,0.0002025,0.073871278,run54
2024,0.001,baseline,0,0.000198,0.076856917,run55
2024,0.001,baseline,0.0827068,0.0000545,0.085621877,run56
2024,0.001,baseline,0.789744,0.000091,0.090679016,run57
2024,0.001,baseline,0.933711,0.0010055,0.270996493,run58
2024,0.001,baseline,0.103896,0.0000325,0.071662903,run59
2024,0.001,baseline,0.382313,0.000319,0.114345588,run6
2024,0.001,baseline,0.290749,0.0000975,0.085435329,run60
2024,0.001,baseline,0.934744,0.0021625,0.281410064,run61
2024,0.001,baseline,0.313869,0.000234,0.080164725,run62
2024,0.001,baseline,0.758657,0.0004115,0.206059095,run63
2024,0.001,baseline,0.0882353,0.0000825,0.101410331,run64
2024,0.001,baseline,0.0367232,0.00015,0.086629632,run65
2024,0.001,baseline,0.824353,0.000393,0.225930571,run66
2024,0.001,baseline,0.938776,0.0022295,0.293868582,run67
2024,0.001,baseline,0.0677966,0.000078,0.107474018,run68
2024,0.001,baseline,0.00316456,0.00014,0.0729677,run69
2024,0.001,baseline,0.0944444,0.0001615,0.09244075,run7
2024,0.001,baseline,0.690021,0.000207,0.160554287,run70
2024,0.001,baseline,0.333333,0.0000305,0.084983457,run71
2024,0.001,baseline,0.590164,0.000026,0.061064642,run72
2024,0.001,baseline,0.777714,0.0007405,0.222841758,run73
2024,0.001,baseline,0.0104167,0.000121,0.100643547,run74
2024,0.001,baseline,0.661332,0.0006505,0.161971658,run75
2024,0.001,baseline,0.934491,0.000876,0.230888496,run76
2024,0.001,baseline,0.021978,0.00004,0.070494469,run77
2024,0.001,baseline,0.00333333,0.000133,0.071842179,run78
2024,0.001,baseline,0.0547945,0.000033,0.066921302,run79
2024,0.001,baseline,0.89783,0.0008195,0.280551732,run8
2024,0.001,baseline,0.0378251,0.000187,0.073876398,run80
2024,0.001,baseline,0.311741,0.000107,0.07774804,run81
2024,0.001,baseline,0.2,0.0000125,0.055543547,run82
2024,0.001,baseline,0.907317,0.000175,0.126981571,run83
2024,0.001,baseline,0.264205,0.0001565,0.081215138,run84
2024,0.001,baseline,0.102249,0.0002135,0.083823943,run85
2024,0.001,baseline,0.0309278,0.0000385,0.062459194,run86
2024,0.001,baseline,0.0314465,0.0000705,0.067814979,run87
2024,0.001,baseline,0.176471,0.000008,0.073440124,run88
2024,0.001,baseline,0.948161,0.0005075,0.25660689,run89
2024,0.001,baseline,0.606921,0.000495,0.153163114,run9
2024,0.001,baseline,0.5,0.0000485,0.0894817,run90
2024,0.001,baseline,0.175141,0.000157,0.090057515,run91
2024,0.001,baseline,0.0641026,0.0000325,0.076208455,run92
2024,0.001,baseline,0.0769231,0.000137,0.100185368,run93
2024,0.001,baseline,0,0.000002,0.093281975,run94
2024,0.001,baseline,0.875396,0.0003935,0.217743357,run95
2024,0.001,baseline,0.694794,0.0002325,0.118181051,run96
2024,0.001,baseline,0.824588,0.0008515,0.245945541,run97
2024,0.001,baseline,0.86681,0.0003855,0.183636216,run98
2024,0.001,baseline,0.515829,0.0002395,0.082067622,run99
2025,0.001,baseline,0.548235,0.000184,0.141360724,run1
2025,0.001,baseline,0.259036,0.0000715,0.086589132,run10
2025,0.001,baseline,0.795107,0.000292,0.173248556,run100
2025,0.001,baseline,0.118132,0.000156,0.087897727,run11
2025,0.001,baseline,0.880584,0.000484,0.223266646,run12
2025,0.001,baseline,0.503311,0.00007,0.077006343,run13
2025,0.001,baseline,0.207547,0.000091,0.084694682,run14
2025,0.001,baseline,0.158479,0.0002545,0.091159007,run15
2025,0.001,baseline,0.511727,0.000207,0.14161708,run16
2025,0.001,baseline,0,0.0000645,0.077918946,run17
2025,0.001,baseline,0.968708,0.0067485,0.339501772,run18
2025,0.001,baseline,0.248201,0.000122,0.111539625,run19
2025,0.001,baseline,0.00852273,0.000142,0.102220011,run2
2025,0.001,baseline,0.224771,0.000098,0.069913765,run20
2025,0.001,baseline,0.0297619,0.0001505,0.069566311,run21
2025,0.001,baseline,0.0861538,0.0001455,0.082101225,run22
2025,0.001,baseline,0.308017,0.0001015,0.087174665,run23
2025,0.001,baseline,0.09375,0.0000285,0.089758658,run24
2025,0.001,baseline,0.207207,0.0000455,0.093864625,run25
2025,0.001,baseline,0.126667,0.000127,0.081409001,run26
2025,0.001,baseline,0.305211,0.000175,0.09880607,run27
2025,0.001,baseline,0.188917,0.000175,0.123714913,run28
2025,0.001,baseline,0.00677966,0.000125,0.078307068,run29
2025,0.001,baseline,0.405488,0.0001275,0.080030768,run3
2025,0.001,baseline,0.0193798,0.0001085,0.067416745,run30
2025,0.001,baseline,0.827177,0.0006285,0.261951979,run31
2025,0.001,baseline,0.714286,0.0001515,0.117954784,run32
2025,0.001,baseline,0.29932,0.0000665,0.082160417,run33
2025,0.001,baseline,0.0987654,0.000104,0.07795885,run34
2025,0.001,baseline,0.555066,0.0000875,0.091438229,run35
2025,0.001,baseline,0.0977995,0.000172,0.083541952,run36
2025,0.001,baseline,0.0189573,0.000083,0.074160556,run37
2025,0.001,baseline,0.355932,0.0000265,0.085701977,run38
2025,0.001,baseline,0.592868,0.0002795,0.192345636,run39
2025,0.001,baseline,0.021978,0.0000385,0.072493958,run4
2025,0.001,baseline,0.209677,0.0000265,0.083241071,run40
2025,0.001,baseline,0.0976331,0.00014,0.083998529,run41
2025,0.001,baseline,0.805858,0.00051,0.180718649,run42
2025,0.001,baseline,0.254486,0.000263,0.109251514,run43
2025,0.001,baseline,0.0675381,0.000199,0.084329098,run44
2025,0.001,baseline,0.598765,0.0001445,0.133201061,run45
2025,0.001,baseline,0.631783,0.0001025,0.1320797,run46
2025,0.001,baseline,0.00573066,0.0001485,0.079470441,run47
2025,0.001,baseline,0.164179,0.0000585,0.072831151,run48
2025,0.001,baseline,0.482759,0.000039,0.083993413,run49
2025,0.001,baseline,0.26455,0.000088,0.085282977,run5
2025,0.001,baseline,0.5,0.0000205,0.065397514,run50
2025,0.001,baseline,0.160256,0.0000725,0.072792456,run51
2025,0.001,baseline,0.135857,0.000193,0.108108724,run52
2025,0.001,baseline,1,0.0000115,0.052909798,run53
2025,0.001,baseline,0.987034,0.002581,0.326051979,run54
2025,0.001,baseline,0.247706,0.0000465,0.097020615,run55
2025,0.001,baseline,0.181208,0.000068,0.083507024,run56
2025,0.001,baseline,0.332512,0.000171,0.116613393,run57
2025,0.001,baseline,0.919034,0.000288,0.183831969,run58
2025,0.001,baseline,0.855263,0.00003,0.118231401,run59
2025,0.001,baseline,0.0878049,0.0000865,0.110841688,run6
2025,0.001,baseline,0.617647,0.000015,0.081930819,run60
2025,0.001,baseline,0.337931,0.000186,0.092987398,run61
2025,0.001,baseline,0.909392,0.0007765,0.247697824,run62
2025,0.001,baseline,0.01875,0.000143,0.088023,run63
2025,0.001,baseline,0.892755,0.000753,0.2534872,run64
2025,0.001,baseline,0.63593,0.000253,0.151248348,run65
2025,0.001,baseline,0.305344,0.0001155,0.115501007,run66
2025,0.001,baseline,0.0555556,0.000017,0.11832552,run67
2025,0.001,baseline,0.374126,0.000121,0.09756213,run68
2025,0.001,baseline,0.0277778,0.0001205,0.075572565,run69
2025,0.001,baseline,0.151685,0.000077,0.076296629,run7
2025,0.001,baseline,0.243243,0.000095,0.09886877,run70
2025,0.001,baseline,0.294118,0.000235,0.133419344,run71
2025,0.001,baseline,0.509363,0.000118,0.08580898,run72
2025,0.001,baseline,0.273183,0.0001645,0.076201242,run73
2025,0.001,baseline,0.322581,0.0000405,0.086135074,run74
2025,0.001,baseline,0.312139,0.0000765,0.071418796,run75
2025,0.001,baseline,0,0.000058,0.080825386,run76
2025,0.001,baseline,0.353211,0.0000945,0.079364732,run77
2025,0.001,baseline,0.533066,0.000212,0.108407033,run78
2025,0.001,baseline,0,0.000037,0.085527322,run79
2025,0.001,baseline,0.448405,0.00023,0.143707812,run8
2025,0.001,baseline,0.10303,0.0000735,0.085963492,run80
2025,0.001,baseline,0.48913,0.000087,0.12258105,run81
2025,0.001,baseline,0.0336134,0.000048,0.077981218,run82
2025,0.001,baseline,0.233333,0.0000785,0.067895416,run83
2025,0.001,baseline,0.518382,0.000116,0.131839949,run84
2025,0.001,baseline,0.0246479,0.000126,0.077047504,run85
2025,0.001,baseline,0.356643,0.0000635,0.102826621,run86
2025,0.001,baseline,0.035,0.000092,0.071159623,run87
2025,0.001,baseline,0.920351,0.0023025,0.308633367,run88
2025,0.001,baseline,0,0.000051,0.092003856,run89
2025,0.001,baseline,0.117391,0.0001045,0.083117902,run9
2025,0.001,baseline,0.278689,0.0001545,0.127446762,run90
2025,0.001,baseline,0.487179,0.0000685,0.079757433,run91
2025,0.001,baseline,0.978578,0.0010235,0.290760205,run92
2025,0.001,baseline,0.837472,0.0003855,0.230679345,run93
2025,0.001,baseline,0.433333,0.0001015,0.082840883,run94
2025,0.001,baseline,0.163065,0.000221,0.079983457,run95
2025,0.001,baseline,0.020202,0.0000425,0.073437769,run96
2025,0.001,baseline,0.551418,0.000236,0.141323386,run97
2025,0.001,baseline,0.671196,0.000159,0.25628583,run98
2025,0.001,baseline,0.881123,0.00154,0.254947721,run99
2026,0.001,baseline,0.03125,0.000058,0.077761078,run1
