MONTH	P_TC	P_PFPR	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TF_99	TF_95	TF_75	TF_50	TF_25	TF_05	TF_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01	ELIMINATION
-10	0.25	0.1	2	0.044223554	0.012973166	0.000329716	0	0	0	0	28.95551378	26.59220668	22.27891156	19.47421981	17.56821419	15.47443978	13.41349408	0.17736049	0.1658187	0.137854	0.1242185	0.1102515	0.091452195	0.076230853	1
-10	0.25	1	0	0.011649121	0.008493578	0.001484646	0.00042125	0.000133815	5.51E-05	0	22.02709991	21.66487706	20.49432467	19.71017077	19.05795498	18.22842509	17.6045394	1.2427975	1.226424	1.1933875	1.16991	1.1445475	1.1126725	1.1008835	0
-10	0.25	1	1	0.01354449	0.00764705	0.003544976	0.001032595	0.000223408	3.54E-05	0	22.70191575	21.88317524	20.5965738	19.8003473	19.00815401	17.93793229	17.25790942	1.2551616	1.22725	1.2002775	1.18117	1.1568625	1.112642	1.0970372	0
-10	0.25	1	2	0.020664967	0.009864961	0.002258353	0.000728141	0.000160995	5.71E-05	0	22.21165795	21.86279661	20.56274618	19.83170024	19.00511469	18.24422442	17.8260003	1.2397018	1.2174655	1.1874825	1.170955	1.1506675	1.123314	1.1210632	0
-10	0.25	10	0	0.004828663	0.004006713	0.002534763	0.001490829	0.000955746	0.000440715	0.000331918	19.35576026	19.19190274	18.80848156	18.56056709	18.28430725	17.89764611	17.76525524	10.714531	10.69301	10.6444	10.60615	10.58255	10.53594	10.482879	0
-10	0.25	10	1	0.005162672	0.004072855	0.002482017	0.001512881	0.00094493	0.000411826	0.000276502	19.33814039	19.15905708	18.83020967	18.52164266	18.32914923	17.93082011	17.61180501	10.740774	10.684305	10.6426	10.60645	10.579225	10.511445	10.4701	0
-10	0.25	10	2	0.00608385	0.003871853	0.002282695	0.00150185	0.001073558	0.000476359	0.000360976	19.28000531	19.08778376	18.73086965	18.48327608	18.22862326	17.90624206	17.69980304	10.717281	10.66871	10.629825	10.59745	10.5642	10.5244	10.495901	0
-10	0.5	0.1	0	0.054834809	0.041651886	0.00493011	0.000557867	0.000141265	0	0	25.9608353	24.40241906	22.20857626	20.69797656	19.5531887	17.73943802	16.35362041	0.19589625	0.18290715	0.1592315	0.1470505	0.1326345	0.11969155	0.11222747	65
-10	0.5	0.1	1	0.052830401	0.031953923	0.003731245	0.000412322	0.000150859	0	0	25.87712093	24.92208628	22.62505766	21.45002145	20.11092762	18.37872825	17.68936527	0.18218174	0.173361	0.15721925	0.146294	0.13084875	0.1149587	0.10440683	94
-10	0.5	0.1	2	0.065830115	0.036340764	0.00465016	0.000295618	0	0	0	26.80572755	24.78148382	22.65301278	20.94776598	19.78091645	18.05428028	17.36581268	0.1862375	0.1796858	0.1606725	0.1482365	0.135689	0.12295485	0.10471556	95
-10	0.5	1	0	0.02046564	0.018101328	0.009487448	0.004997791	0.001930821	0.000393387	0.000142843	22.48949999	21.82073097	21.22418408	20.71503858	20.32180829	19.54583788	19.28617424	1.4135481	1.390755	1.365215	1.345615	1.3217775	1.294967	1.2786216	0
-10	0.5	1	1	0.018273593	0.01502846	0.006760563	0.003182106	0.00128203	0.000595587	0.000384199	22.11731525	21.56573132	21.11619272	20.69866416	20.28987793	19.65522983	19.08721884	1.426003	1.4039875	1.37096	1.349805	1.321775	1.28466	1.281094	0
-10	0.5	1	2	0.027110064	0.019649069	0.006767226	0.003295905	0.001474842	0.000478679	0.000233308	22.15040162	21.74783358	21.09826781	20.66754464	20.28396813	19.76351929	19.35983495	1.4010616	1.3849375	1.363955	1.34167	1.3095725	1.2860325	1.2627867	0
-10	0.5	10	0	0.010683354	0.008721459	0.005707423	0.003957255	0.003093036	0.002147211	0.0014376	20.06104083	19.84489353	19.58197413	19.41638499	19.25174319	19.07578178	18.69338128	10.797297	10.77077	10.7262	10.69605	10.67335	10.63527	10.630331	0
-10	0.5	10	1	0.010745787	0.007925303	0.005888823	0.00423237	0.003037361	0.001663615	0.001260706	20.06659947	19.89051536	19.67096213	19.48996238	19.3045322	19.05641359	18.90549795	10.802552	10.77065	10.7292	10.70235	10.6761	10.6383	10.607832	0
-10	0.5	10	2	0.012130813	0.009697062	0.006049423	0.004597917	0.003432556	0.002186511	0.001177299	19.99274372	19.88675749	19.64169367	19.4516962	19.27867926	19.02928756	18.92030448	10.810258	10.77071	10.730925	10.70125	10.656175	10.62077	10.601587	0
-10	0.75	0.1	0	0.101268965	0.071524846	0.022505548	0.006816437	0.00083732	0.000222313	0	26.67974056	24.81178827	23.17846096	21.75069483	20.46423291	18.73953349	17.15184157	0.1296134	0.12463035	0.1109945	0.102003	0.091544325	0.080888755	0.074539988	99
-10	0.75	0.1	1	0.085376516	0.061814922	0.018382718	0.005602301	0.001113268	0	0	26.53549439	24.77969335	22.7740161	21.48659316	20.10349835	18.54097049	17.72566433	0.13028938	0.12484375	0.110367	0.1009915	0.09322325	0.08229717	0.0791011	100
-10	0.75	0.1	2	0.104496519	0.064955007	0.014837539	0.0028769	0.00044633	0	0	24.97743626	24.60172344	22.74402519	21.65732522	20.10561857	17.8126452	17.09889943	0.12847906	0.12360775	0.11197475	0.102439	0.093493275	0.083128955	0.074799503	100
-10	0.75	1	0	0.067461336	0.039629103	0.020395582	0.013716036	0.00681928	0.002580842	0.001200414	21.93524073	21.62346157	21.22177523	20.95454751	20.70464201	20.1337553	19.76586437	1.3536331	1.336943	1.300285	1.27838	1.254975	1.228885	1.2125489	0
